state_name,crop_name,seed_cost,fertilizer_cost,manure_cost,pesticide_cost,irrigation_cost,misc_cost,machinery_cost,revenue,total_cost,yield_per_acre
Karnataka,blackgram,889.36,1626.03,0.0,2510.75,0.0,257.16,7520.28,28960.47,12803.579999999998,2.173165253637118
Chhattisgarh,blackgram,599.37,485.41,9.63,0.0,0.0,0.0,2516.37,6655.51,3610.7799999999997,1.5297140891523846
Andhra Pradesh,blackgram,1031.13,41.34,0.0,426.23,43.41,0.0,8139.77,26427.19,9681.880000000001,3.8404726735598227
Tamil Nadu,blackgram,1630.66,402.16,2.37,198.18,218.94,11.9,4592.54,19759.74,7056.75,1.7037291839501427
Uttar Pradesh,blackgram,776.97,64.5,0.0,549.81,55.08,0.0,4845.68,13913.81,6292.04,1.33546468100605
West Bengal,blackgram,3419.4,437.15,332.9,258.7,0.0,0.0,17496.13,67249.05,21944.28,3.658363853422634
Chhattisgarh,blackgram,540.46,110.8,0.0,0.0,0.0,0.0,1552.14,2844.58,2203.4,0.7931850832641995
Uttar Pradesh,blackgram,2033.19,0.0,0.0,102.76,18.65,3.01,10286.68,27880.89,12444.29,1.9465409441330608
Andhra Pradesh,blackgram,3666.01,230.02,32.68,2973.89,224.7,8.77,19135.38,62496.64,26271.45,4.00639404301815
Chhattisgarh,blackgram,2480.0,2976.0,0.0,520.0,0.0,48.0,6033.28,16200.0,12057.279999999999,1.4568705610975092
Gujarat,blackgram,1582.7,1298.91,357.71,696.44,324.69,61.69,9832.52,27992.62,14154.66,2.5211954432326342
Uttar Pradesh,blackgram,1899.1,0.0,0.0,515.03,569.55,9.71,10911.75,26674.31,13905.14,0.8741223366585056
Madhya Pradesh,blackgram,564.43,0.0,177.15,0.0,134.34,0.0,1813.61,4004.82,2689.5299999999997,0.8741223366585056
Madhya Pradesh,blackgram,1669.07,2003.63,294.94,1081.06,0.0,81.56,5150.66,13611.04,10280.92,1.5013860504643775
Odisha,blackgram,1873.01,157.9,39.25,34.08,10.05,4.07,7359.74,24154.2,9478.1,1.5297140891523846
Rajasthan,blackgram,1530.45,1810.57,0.0,429.97,0.0,21.93,6697.96,24923.35,10490.88,1.1128872341717084
Tamil Nadu,blackgram,2565.6,1798.54,298.08,1558.74,2072.18,166.07,15562.52,50122.43,24021.73,2.7680540660852673
Telangana,blackgram,1607.86,432.63,0.0,942.97,0.0,23.28,12899.19,42434.37,15905.93,3.4074583679002854
Uttar Pradesh,blackgram,1343.12,0.0,23.8,637.77,11.43,3.13,6029.02,13020.75,8048.27,1.149308998199146
Tamil Nadu,blackgram,2486.71,2054.87,412.27,1778.84,568.68,68.86,12427.81,38186.97,19798.04,2.254102507031424
Madhya Pradesh,blackgram,476.42,113.25,109.86,0.0,43.64,0.0,2231.2,5094.12,2974.37,1.278808603630036
Rajasthan,blackgram,1356.68,191.25,0.0,428.59,70.81,22.61,8777.76,39762.5,10847.7,1.5459015398312457
Odisha,blackgram,2301.88,82.87,7.61,38.91,0.0,4.65,6272.68,21587.92,8708.6,1.2747617409603205
Maharashtra,blackgram,3128.35,1733.13,0.0,1766.56,467.61,68.43,7775.03,37304.82,14939.109999999999,2.683069950021246
